state,lat,lon
ID,44.3592,-112.8502
ID,44.4151,-112.831
ID,44.4887,-112.7266
ID,44.4504,-112.3901
ID,44.5347,-112.327
ID,44.522,-112.1127
ID,44.5582,-111.8848
ID,44.5132,-111.8271
ID,44.5396,-111.4645
ID,44.6198,-111.5057
ID,44.7292,-111.3684
ID,44.4759,-111.0539
ID,43.8623,-111.0471
ID,42.0013,-111.0471
ID,41.9962,-112.1663
ID,41.9871,-113.8458
ID,41.9942,-114.0422
ID,42.0013,-114.8222
ID,41.9973,-115.9126
ID,41.9962,-117.014
ID,42.0013,-117.0264
ID,43.782,-117.0277
ID,43.833,-117.0325
ID,43.8632,-117.003
ID,43.9073,-116.9776
ID,44.0244,-116.9302
ID,44.0491,-116.9735
ID,44.1014,-116.933
ID,44.1561,-116.8945
ID,44.1965,-116.9714
ID,44.2442,-116.981
ID,44.2486,-117.0339
ID,44.2304,-117.0525
ID,44.2585,-117.0895
ID,44.2806,-117.1122
ID,44.259,-117.1541
ID,44.2973,-117.2255
ID,44.3445,-117.1994
ID,44.3813,-117.2372
ID,44.4769,-117.2269
ID,44.5234,-117.1836
ID,44.5376,-117.1458
ID,44.7423,-117.0442
ID,44.7921,-116.9316
ID,44.8568,-116.898
ID,44.9356,-116.8327
ID,44.9624,-116.8513
ID,44.9896,-116.8554
ID,45.0313,-116.8417
ID,45.0968,-116.7819
ID,45.1627,-116.7229
ID,45.2178,-116.7105
ID,45.3213,-116.6741
ID,45.3984,-116.6185
ID,45.4433,-116.5883
ID,45.463,-116.5553
ID,45.5371,-116.5334
ID,45.614,-116.464
ID,45.6904,-116.5354
ID,45.734,-116.5354
ID,45.7541,-116.5594
ID,45.7843,-116.6357
ID,45.7781,-116.5965
ID,45.7805,-116.6597
ID,45.8259,-116.7105
ID,45.8159,-116.7586
ID,45.8341,-116.7908
ID,45.8642,-116.8046
ID,45.9053,-116.8595
ID,45.9545,-116.8739
ID,45.9769,-116.8925
ID,46.0218,-116.9302
ID,46.0932,-116.9838
ID,46.1385,-116.9344
ID,46.1727,-116.9268
ID,46.2007,-116.9646
ID,46.2435,-116.9591
ID,46.2782,-116.992
ID,46.3152,-117.0209
ID,46.3446,-117.0511
ID,46.427,-117.0408
ID,46.9451,-117.0394
ID,48.9996,-117.0319
IL,42.5116,-90.629
IL,42.4924,-87.0213
IL,41.7641,-87.2067
IL,41.7611,-87.5226
IL,39.6417,-87.5336
IL,39.3566,-87.5308
IL,39.1386,-87.6517
IL,38.9445,-87.5157
IL,38.7294,-87.5047
IL,38.6115,-87.6146
IL,38.4944,-87.6544
IL,38.374,-87.778
IL,38.2856,-87.8371
IL,38.2414,-87.9758
IL,38.1454,-87.9291
IL,37.9788,-88.0225
IL,37.89,-88.0458
IL,37.7881,-88.0321
IL,37.6349,-88.1529
IL,37.5097,-88.0609
IL,37.4149,-88.4152
IL,37.2828,-88.5086
IL,37.1428,-88.4221
IL,37.0585,-88.499
IL,37.1428,-88.7256
IL,37.2128,-88.9453
IL,37.1559,-89.0689
IL,37.0376,-89.165
IL,36.9894,-89.2873
IL,37.1505,-89.4356
IL,37.2762,-89.5345
IL,37.3996,-89.4315
IL,37.6936,-89.5358
IL,37.9767,-89.967
IL,38.2587,-90.379
IL,38.6169,-90.2376
IL,38.7573,-90.1744
IL,38.8247,-90.1167
IL,38.8846,-90.1799
IL,38.968,-90.4504
IL,38.8654,-90.5905
IL,39.0405,-90.7086
IL,39.2301,-90.7306
IL,39.3173,-90.835
IL,39.3853,-90.9338
IL,39.5559,-91.1398
IL,39.7262,-91.3554
IL,39.857,-91.4406
IL,39.994,-91.4941
IL,40.1694,-91.512
IL,40.3497,-91.4667
IL,40.4166,-91.3939
IL,40.5566,-91.4021
IL,40.6265,-91.2524
IL,40.6963,-91.1151
IL,40.8232,-91.089
IL,40.9312,-90.9792
IL,41.1642,-91.0162
IL,41.2355,-91.1055
IL,41.417,-91.0368
IL,41.4458,-90.8487
IL,41.4417,-90.7251
IL,41.5816,-90.3516
IL,41.7713,-90.2637
IL,41.9023,-90.1538
IL,42.0819,-90.1758
IL,42.2021,-90.3598
IL,42.2936,-90.4395
IL,42.4032,-90.5356
IL,42.4843,-90.6564
IN,41.7611,-87.5253
IN,41.7611,-84.809
IN,39.0981,-84.8199
IN,39.0533,-84.8927
IN,38.8996,-84.8625
IN,38.8312,-84.8268
IN,38.7841,-84.8145
IN,38.7905,-84.8941
IN,38.7809,-84.9861
IN,38.6877,-85.1797
IN,38.7198,-85.442
IN,38.5653,-85.4091
IN,38.4461,-85.5986
IN,38.2695,-85.751
IN,38.2824,-85.8266
IN,38.2414,-85.8376
IN,38.0967,-85.9035
IN,38.0232,-85.92
IN,37.9594,-86.0477
IN,38.0102,-86.0944
IN,38.0578,-86.2729
IN,38.0935,-86.2811
IN,38.1346,-86.2729
IN,38.1842,-86.3704
IN,38.0416,-86.5187
IN,37.9193,-86.5874
IN,37.8402,-86.6409
IN,37.9085,-86.6478
IN,37.9085,-86.6876
IN,37.9821,-86.8236
IN,37.9464,-86.9019
IN,37.9009,-87.0392
IN,37.7924,-87.1394
IN,37.9464,-87.4429
IN,37.9756,-87.5885
IN,37.9225,-87.6283
IN,37.8694,-87.6915
IN,37.9236,-87.8879
IN,37.7718,-87.962
IN,37.787,-88.0321
IN,37.8092,-88.0376
IN,37.8011,-88.0643
IN,37.8206,-88.0925
IN,37.8223,-88.0451
IN,37.8483,-88.0575
IN,37.9041,-88.098
IN,37.9307,-88.0705
IN,37.9561,-88.0369
IN,37.9669,-88.0122
IN,38.0102,-88.0259
IN,38.0384,-88.0417
IN,38.053,-88.0005
IN,38.0762,-87.9607
